mode,scenario,task,immediate_acc,final_acc,delta
stateful,unknown,subject_19,0.8500866551126517,0.5797227036395147,-0.27036395147313697
stateful,unknown,subject_20,0.8954191875540191,0.8349178910976663,-0.060501296456352716
stateful,unknown,subject_21,0.9042277825711821,0.816220880069025,-0.08800690250215704
stateful,unknown,subject_22,0.7206896551724138,0.4896551724137931,-0.2310344827586207
stateful,unknown,subject_23,0.729636048526863,0.5363951473136915,-0.1932409012131715
stateful,unknown,subject_24,0.8705780845556514,0.8015530629853321,-0.06902502157031931
stateful,unknown,subject_25,0.7657735522904062,0.7441659464131374,-0.021607605877268843
stateful,unknown,subject_26,0.8281519861830743,0.7392055267702936,-0.08894645941278068
stateful,unknown,subject_27,0.5326370757180157,0.5326370757180157,0.0
ewc_stateful,unknown,subject_1,0.8678260869565217,0.7269565217391304,-0.14086956521739136
ewc_stateful,unknown,subject_2,0.8576419213973799,0.6043668122270742,-0.2532751091703057
ewc_stateful,unknown,subject_3,0.8471615720524017,0.24017467248908297,-0.6069868995633187
ewc_stateful,unknown,subject_4,0.7802964254577158,0.6948561464690497,-0.08544027898866613
ewc_stateful,unknown,subject_5,0.5217770034843205,0.2787456445993031,-0.24303135888501742
ewc_stateful,unknown,subject_6,0.7454387489139879,0.5160729800173762,-0.22936576889661164
ewc_stateful,unknown,subject_7,0.7419354838709677,0.5117698343504795,-0.23016564952048824
ewc_stateful,unknown,subject_8,0.8797909407665505,0.34930313588850176,-0.5304878048780488
ewc_stateful,unknown,subject_9,0.710801393728223,0.11585365853658537,-0.5949477351916377
ewc_stateful,unknown,subject_10,0.8413251961639059,0.5178727114210985,-0.3234524847428074
ewc_stateful,unknown,subject_11,0.6753698868581375,0.5500435161009574,-0.12532637075718012
ewc_stateful,unknown,subject_12,0.720626631853786,0.5787641427328112,-0.14186248912097477
ewc_stateful,unknown,subject_13,0.8268059181897301,0.7180156657963447,-0.10879025239338547
ewc_stateful,unknown,subject_14,0.6861377506538797,0.46207497820401044,-0.22406277244986927
ewc_stateful,unknown,subject_15,0.8444252376836646,0.7588591184096802,-0.08556611927398439
ewc_stateful,unknown,subject_16,0.8492201039861352,0.7374350086655113,-0.11178509532062397
ewc_stateful,unknown,subject_17,0.8290155440414507,0.7227979274611399,-0.10621761658031081
ewc_stateful,unknown,subject_18,0.6877710320901995,0.562012142237641,-0.12575888985255856
ewc_stateful,unknown,subject_19,0.7651646447140381,0.5190641247833622,-0.24610051993067594
ewc_stateful,unknown,subject_20,0.8539325842696629,0.8478824546240277,-0.006050129645635227
ewc_stateful,unknown,subject_21,0.8602243313201036,0.8464193270060397,-0.01380500431406384
ewc_stateful,unknown,subject_22,0.5525862068965517,0.5956896551724138,0.0431034482758621
ewc_stateful,unknown,subject_23,0.6663778162911612,0.6516464471403813,-0.014731369150779883
ewc_stateful,unknown,subject_24,0.7817083692838654,0.7730802415875755,-0.008628127696289956
ewc_stateful,unknown,subject_25,0.672428694900605,0.6447709593777009,-0.02765773552290407
ewc_stateful,unknown,subject_26,0.7029360967184801,0.6433506044905009,-0.059585492227979264
ewc_stateful,unknown,subject_27,0.3629242819843342,0.3629242819843342,0.0
ewc_stateful,cil,Subject_4_Exercise_1,0.6983435047951178,0.3112467306015693,-0.38709677419354843
ewc_stateful,cil,Subject_4_Exercise_2,0.0743700061462815,0.6846957590657652,0.6103257529194837
ewc_stateful,cil,Subject_4_Exercise_3,0.6917701863354038,0.6917701863354038,0.0
herding_stateful,cil,Subject_10_Exercise_1,0.25021795989537926,0.34524847428073235,0.0950305143853531
herding_stateful,cil,Subject_10_Exercise_2,0.5070682237246465,0.5795943454210203,0.07252612169637374
herding_stateful,cil,Subject_10_Exercise_3,0.7566742944317315,0.7566742944317315,0.0
stateless,cil,Subject_10_Exercise_1,0.7977332170880558,0.3016564952048823,-0.4960767218831735
stateless,cil,Subject_10_Exercise_2,0.8930547019053473,0.44560540872771975,-0.44744929317762755
stateless,cil,Subject_10_Exercise_3,0.8890160183066361,0.8890160183066361,0.0
stateless,cil,Subject_10_Exercise_1,0.7959895379250218,0.2022667829119442,-0.5937227550130776
stateless,cil,Subject_10_Exercise_2,0.8899815611555009,0.5205900430239705,-0.36939151813153037
stateless,cil,Subject_10_Exercise_3,0.830282227307399,0.830282227307399,0.0
herding_stateful,cil,Subject_8_Exercise_1,0.1289198606271777,0.5618466898954704,0.4329268292682927
herding_stateful,cil,Subject_8_Exercise_2,0.6748768472906403,0.3485221674876847,-0.3263546798029556
herding_stateful,cil,Subject_8_Exercise_3,0.5668971126474176,0.5668971126474176,0.0
stateless,cil,Subject_7_Exercise_1,0.7454228421970357,0.2911944202266783,-0.4542284219703574
stateless,cil,Subject_7_Exercise_2,0.896255371393493,0.24432166973603436,-0.6519337016574587
stateless,cil,Subject_7_Exercise_3,0.9067245119305857,0.9067245119305857,0.0
ewc_stateful,cil,Subject_1_Exercise_1,0.05478260869565217,0.0,-0.05478260869565217
ewc_stateful,cil,Subject_1_Exercise_2,0.03567035670356704,0.6808118081180812,0.6451414514145142
ewc_stateful,cil,Subject_1_Exercise_3,0.6052083333333333,0.6052083333333333,0.0
herding_stateful,unknown,subject_1,0.7321739130434782,0.7495652173913043,0.017391304347826098
herding_stateful,unknown,subject_2,0.8497816593886462,0.49519650655021835,-0.3545851528384279
herding_stateful,unknown,subject_3,0.7991266375545851,0.5799126637554585,-0.21921397379912666
herding_stateful,unknown,subject_4,0.7236268526591108,0.3077593722755013,-0.41586748038360943
herding_stateful,unknown,subject_5,0.5487804878048781,0.3162020905923345,-0.23257839721254359
herding_stateful,unknown,subject_6,0.6950477845351868,0.37619461337966986,-0.3188531711555169
herding_stateful,unknown,subject_7,0.7375762859633828,0.3060156931124673,-0.43156059285091547
